tanggal,Luas Panen Padi,GKPTP,GKPTPG,GKGTP,Beras
1/6/2022,10,4140,4410,5230,9970
2/6/2022,10,4160,4420,5250,9970
3/6/2022,10,4180,4410,5230,9890
4/6/2022,10,4160,4410,5230,9760
5/6/2022,10,4180,4420,5230,9840
6/6/2022,10,4180,4420,5280,9910
7/6/2022,10,4200,4430,5280,9910
8/6/2022,10,4200,4630,5280,9910
9/6/2022,30,4250,4520,5240,9800
14/07/2022,10,4260,4500,5190,9900
15/07/2022,10,4260,4500,5290,9950
16/07/2022,10,4260,4500,5290,9950
17/07/2022,10,4220,4520,5230,9890
18/07/2022,10,4260,4510,5280,9870
19/07/2022,10,4240,4490,5280,9870
20/07/2022,10,4220,4490,5270,9850
21/07/2022,10,4260,4510,5290,9870
22/07/2022,10,4320,4510,5290,9870
23/07/2022,10,4220,4490,5250,9850
24/07/2022,10,4270,4520,5220,9800
25/07/2022,10,4240,4480,5290,9910
26/07/2022,10,4240,4490,5300,9910
27/07/2022,10,4240,4490,5300,9910
28/07/2022,10,4260,4500,5300,9880
29/07/2022,20,4320,4560,5300,9900
30/07/2022,10,4270,4500,5240,9860
31/07/2022,10,4240,4500,5300,9900
1/8/2022,10,4220,4480,5300,9880
2/8/2022,10,4170,4460,5280,10040
3/8/2022,10,4300,4600,5340,10030
4/8/2022,10,4250,4500,5310,10070
5/8/2022,10,4240,4500,5350,10080
6/8/2022,10,4220,4480,5290,10080
7/8/2022,20,4260,4500,5270,9990
8/8/2022,10,4230,4500,5320,10080
9/8/2022,10,4200,4480,5300,10100
10/8/2022,10,4220,4480,5300,10080
11/8/2022,10,4290,4500,5410,10080
12/8/2022,10,4300,4560,5320,10080
13/08/2022,0,4250,4500,5470,10000
14/08/2022,20,4280,4520,5270,10010
15/08/2022,20,4410,4700,5440,10080
16/08/2022,10,4360,4630,5420,10110
17/08/2022,20,4410,4630,5410,10110
18/08/2022,20,4410,4620,5410,10030
19/08/2022,10,4360,4620,5400,10030
20/08/2022,10,4360,4620,5400,10010
21/08/2022,10,4460,4660,5400,10030
22/08/2022,10,4370,4610,5430,10060
23/08/2022,10,4360,4630,5410,10060
24/08/2022,10,4390,4620,5430,10060
25/08/2022,10,4390,4630,5440,10060
26/08/2022,10,4360,4630,5460,10050
27/08/2022,30,4420,4690,5390,9940
28/08/2022,20,4450,4690,5440,10020
29/08/2022,40,4540,4710,5420,9970
30/08/2022,20,4460,4710,5410,9980
31/08/2022,20,4490,4760,5420,10010
1/9/2022,30,4540,4800,5370,9910
2/9/2022,30,4610,4780,5420,10010
3/9/2022,40,4580,4820,5370,9910
4/9/2022,20,4580,4820,5390,10020
5/9/2022,20,4570,4820,5420,10010
6/9/2022,20,4560,4820,5420,10080
7/9/2022,20,4580,4810,5420,9970
8/9/2022,20,4580,4800,5450,9970
9/9/2022,20,4570,4800,5450,9970
10/9/2022,20,4600,4800,5440,10050
11/9/2022,30,4660,4870,5420,9900
12/9/2022,20,4580,4800,5500,10080
13/09/2022,20,4600,4780,5550,10210
14/09/2022,20,4620,4780,5550,10260
15/09/2022,40,4750,4880,5510,10220
16/09/2022,40,4780,4810,5540,10310
17/09/2022,20,4590,4780,5620,10330
18/09/2022,20,4620,4790,5560,10280
19/09/2022,20,4610,4790,5560,10260
20/09/2022,20,4610,4810,5600,10260
21/09/2022,20,4610,4810,5580,10260
22/09/2022,20,4610,4810,5580,10260
23/09/2022,20,4560,4810,5580,10270
24/09/2022,30,4660,4950,5650,10300
25/09/2022,10,4460,4910,5670,10350
26/09/2022,10,4420,4870,5640,10300
27/09/2022,10,4440,4880,5650,10370
28/09/2022,0,4440,4890,5720,10280
29/09/2022,10,4480,4970,5670,10300
30/09/2022,0,4470,4780,5660,10260
1/10/2022,10,4480,4960,5670,10300
2/10/2022,0,4440,4860,5650,10310
3/10/2022,0,4440,4860,5700,10070
4/10/2022,0,4420,4860,5670,10200
5/10/2022,10,4480,4940,5670,10160
6/10/2022,0,4460,4860,5670,10200
7/10/2022,0,4420,4850,5670,10200
8/10/2022,0,4200,4940,5690,10360
9/10/2022,10,4250,4890,5680,10310
10/10/2022,0,4250,4870,5740,10280
11/10/2022,0,4250,4860,5640,10340
12/10/2022,0,4390,4820,5650,10280
13/10/2022,10,4410,4880,5630,10330
14/10/2022,0,4370,4800,5630,10350
15/10/2022,10,4370,4800,5630,10350
16/10/2022,10,4370,4800,5650,10350
17/10/2022,10,4330,4800,5670,10210
18/10/2022,10,4330,4800,5670,10210
19/10/2022,10,4330,4850,5640,10160
20/10/2022,10,4310,4820,5660,10240
21/10/2022,10,4330,4770,5650,10210
22/10/2022,10,4390,4840,5670,10240
23/10/2022,10,4390,4850,5630,10150
24/10/2022,10,4370,4790,5670,10220
25/10/2022,10,4440,4830,5690,10220
26/10/2022,10,4450,4870,5700,10260
27/10/2022,10,4420,4830,5690,10220
28/10/2022,0,4430,4870,5700,10260
29/10/2022,0,4410,4830,5680,10220
30/10/2022,10,4410,4830,5680,10220
31/10/2022,10,4440,4830,5680,10160
1/11/2022,10,4410,4880,5720,10230
2/11/2022,10,4470,4880,5680,10250
3/11/2022,10,4500,4920,5690,10300
4/11/2022,10,4510,4930,5720,10410
5/11/2022,10,4550,5030,5680,10360
6/11/2022,10,4540,4990,5680,10430
7/11/2022,10,4530,4960,5650,10350
8/11/2022,10,4530,4930,5670,10350
9/11/2022,10,4530,4930,5670,10350
10/11/2022,10,4620,5080,5650,10330
11/11/2022,10,4630,5170,5620,10220
12/11/2022,10,4510,4930,5670,10350
13/11/2022,10,4530,4980,5700,10500
14/11/2022,10,4510,4930,5670,10490
15/11/2022,10,4530,4930,5700,10490
16/11/2022,10,4510,4930,5690,10490
17/11/2022,10,4510,4940,5730,10490
18/11/2022,10,4550,5030,5730,10500
19/11/2022,20,4700,5030,5730,10500
20/11/2022,10,4640,5050,5670,10430
21/11/2022,10,4560,4960,5720,10500
22/11/2022,0,4410,4860,5740,10450
23/11/2022,20,4650,5050,5730,10490
24/11/2022,10,4570,4970,5770,10400
25/11/2022,10,4570,4970,5740,10400
26/11/2022,10,4650,5050,5780,10470
27/11/2022,10,4650,5050,5790,10470
28/11/2022,10,4640,5050,5800,10490
29/11/2022,10,4580,5020,5790,10450
30/11/2022,10,4570,4970,5800,10490
1/12/2022,0,4370,4890,5800,10330
2/12/2022,10,4600,5030,5840,10570
3/12/2022,0,4640,5050,5830,10540
4/12/2022,10,4600,5030,5870,10550
5/12/2022,10,4590,4960,5790,10580
6/12/2022,10,4590,4970,5830,10610
7/12/2022,10,4620,5000,5840,10440
8/12/2022,70,4780,5190,5960,10500
9/12/2022,10,4630,5030,5900,10710
10/12/2022,10,4610,5030,5880,10720
11/12/2022,10,4630,5030,5880,10720
12/12/2022,10,4620,4980,5820,10800
13/12/2022,10,4810,5100,5870,10800
14/12/2022,10,4810,5100,5870,10800
15/12/2022,10,4680,4980,5860,10760
16/12/2022,10,4790,5100,5870,10800
17/12/2022,20,4900,5200,5870,11360
18/12/2022,10,4860,5150,5860,10610
19/12/2022,20,5010,5330,6050,10860
20/12/2022,10,4890,5180,5910,10980
21/12/2022,10,4810,5100,5880,10860
22/12/2022,10,4810,5100,5880,10860
23/12/2022,10,4740,5220,5910,10910
24/12/2022,10,4890,5210,5910,10980
25/12/2022,10,4820,5110,5890,10860
26/12/2022,10,4910,5090,5940,10990
27/12/2022,10,4830,5000,5960,10940
28/12/2022,10,4910,5090,6000,11150
29/12/2022,10,4850,5150,6020,10870
30/12/2022,10,4890,5270,6090,10930
31/12/2022,10,4980,5370,6150,11170
1/1/2022,20,4420,4560,5290,10220
2/1/2022,90,4280,4550,5290,10180
3/1/2022,20,4320,4550,5300,10170
4/1/2022,20,4320,4540,5300,10150
5/1/2022,20,4430,4680,5320,10140
6/1/2022,20,4320,4570,5320,10170
7/1/2022,20,4320,4540,5300,10150
8/1/2022,10,4320,4540,5260,10000
9/1/2022,20,4320,4540,5300,10150
10/1/2022,20,4320,4570,5320,10170
11/1/2022,20,4320,4570,5300,10170
12/1/2022,20,4460,4550,5340,10210
13/01/2022,30,4280,4490,5280,10190
14/01/2022,20,4310,4740,5330,10180
15/01/2022,20,4330,4570,5390,10200
16/01/2022,20,4340,4570,5370,10210
17/01/2022,10,4410,4560,5400,10190
18/01/2022,10,4350,4570,5400,10190
19/01/2022,10,4400,4590,5460,10190
20/01/2022,10,4430,4650,5570,10210
21/01/2022,10,4470,4700,5600,10260
22/01/2022,20,4370,4620,5590,10210
23/01/2022,20,4370,4620,5570,10210
24/01/2022,10,4260,4500,5540,10140
25/01/2022,10,4370,4640,5630,10140
26/01/2022,10,4350,4610,5620,10200
27/01/2022,10,4370,4630,5630,10130
28/01/2022,10,4390,4630,5650,10150
29/01/2022,10,4420,4630,5650,10180
30/01/2022,20,4450,4670,5610,10160
31/01/2022,10,4440,4610,5630,10190
1/2/2022,10,4420,4620,5760,10190
2/2/2022,10,4420,4620,5620,10190
3/2/2022,10,4420,4620,5620,10190
4/2/2022,10,4500,4590,5570,10190
5/2/2022,10,4430,4600,5600,10200
6/2/2022,10,4420,4620,5600,10190
7/2/2022,10,4390,4580,5600,10160
8/2/2022,10,4390,4570,5590,10170
9/2/2022,10,4390,4550,5590,10160
10/2/2022,10,4390,4600,5580,10170
11/2/2022,10,4540,4580,5710,10170
12/2/2022,10,4460,4600,5600,10130
13/02/2022,10,4460,4600,5590,10170
14/02/2022,10,4460,4610,5590,10080
15/02/2022,20,4460,4590,5600,10080
16/02/2022,20,4460,4580,5590,10000
17/02/2022,10,4430,4600,5600,10000
18/02/2022,20,4520,4600,5600,10080
19/02/2022,10,4430,4600,5600,10080
20/02/2022,20,4440,4600,5600,10080
21/02/2022,10,4440,4600,5600,10080
22/02/2022,10,4410,4600,5600,10080
23/02/2022,10,4370,4580,5590,10050
24/02/2022,10,4430,4580,5710,10070
25/02/2022,10,4430,4580,5720,10070
26/02/2022,10,4430,4600,5730,10090
27/02/2022,10,4430,4600,5740,10090
28/02/2022,10,4430,4600,5740,10080
1/3/2022,10,4430,4600,5730,10050
2/3/2022,10,4430,4600,5730,10050
3/3/2022,10,4410,4590,5700,10050
4/3/2022,10,4410,4570,5700,10020
5/3/2022,10,4420,4590,5710,10020
6/3/2022,10,4420,4590,5710,10020
7/3/2022,10,4410,4570,5700,10110
8/3/2022,10,4420,4590,5700,10110
9/3/2022,10,4390,4590,5710,10120
10/3/2022,10,4390,4570,5700,10120
11/3/2022,10,4410,4610,5710,10120
12/3/2022,10,4410,4590,5600,10240
13/03/2022,10,4410,4610,5620,10240
14/03/2022,10,4420,4630,5650,10200
15/03/2022,10,4440,4630,5590,10250
16/03/2022,10,4380,4580,5540,10250
17/03/2022,10,4400,4560,5540,10250
18/03/2022,10,4400,4580,5540,10270
19/03/2022,10,4410,4590,5530,10280
20/03/2022,10,4410,4590,5530,10280
21/03/2022,20,4470,4670,5530,10100
22/03/2022,10,4360,4560,5530,10270
23/03/2022,10,4400,4600,5530,10290
24/03/2022,10,4400,4580,5440,10180
25/03/2022,10,4350,4520,5380,10180
26/03/2022,10,4340,4540,5400,10190
27/03/2022,10,4350,4540,5400,10190
28/03/2022,10,4350,4520,5380,10180
29/03/2022,10,4340,4520,5380,10150
30/03/2022,10,4330,4540,5400,10160
31/03/2022,10,4320,4550,5400,10180
1/4/2022,10,4320,4520,5400,10180
2/4/2022,20,4340,4520,5400,10170
3/4/2022,10,4340,4520,5400,10190
4/4/2022,10,4340,4520,5490,10110
5/4/2022,10,4350,4500,5380,10150
6/4/2022,10,4310,4530,5360,10170
7/4/2022,10,4280,4510,5340,10160
8/4/2022,20,4260,4490,5360,10160
9/4/2022,10,4240,4490,5350,10160
10/4/2022,20,4190,4420,5240,10140
11/4/2022,10,4220,4460,5250,10060
12/4/2022,20,4180,4380,5220,10060
13/04/2022,20,4090,4320,5160,10060
14/04/2022,20,4120,4390,5220,10060
15/04/2022,20,4150,4420,5290,10060
16/04/2022,20,4180,4440,5230,10060
17/04/2022,20,4180,4450,5250,10070
18/04/2022,20,4180,4450,5240,10070
19/04/2022,20,4150,4420,5250,10090
20/04/2022,20,4160,4420,5240,10110
21/04/2022,30,4240,4510,5280,10040
22/04/2022,20,4170,4430,5250,10080
23/04/2022,20,4090,4500,5300,10060
24/04/2022,20,4150,4410,5230,10100
25/04/2022,10,4140,4420,5230,10100
26/04/2022,10,4150,4410,5300,10100
27/04/2022,20,4130,4420,5170,10060
28/04/2022,10,4150,4420,5240,10100
29/04/2022,20,4110,4420,5180,10060
30/04/2022,10,4150,4420,5250,10100
1/5/2022,10,4060,4350,5180,10080
2/5/2022,10,4210,4510,5230,10100
3/5/2022,10,4210,4480,5310,10100
4/5/2022,10,4110,4390,5180,10050
5/5/2022,10,4110,4390,5080,10080
6/5/2022,10,4110,4390,5180,10050
7/5/2022,10,4090,4380,5180,10050
8/5/2022,10,4110,4380,5160,10060
9/5/2022,10,4130,4410,5230,9970
10/5/2022,10,4170,4450,5150,9970
11/5/2022,10,4170,4450,5270,9970
12/5/2022,10,4170,4440,5270,9970
13/05/2022,10,4170,4450,5270,9960
14/05/2022,10,4170,4440,5240,9960
15/05/2022,10,4160,4430,5270,9910
16/05/2022,20,4200,4470,5240,9910
17/05/2022,10,4160,4410,5240,9900
18/05/2022,10,4100,4400,5220,9890
19/05/2022,10,4140,4410,5250,9910
20/05/2022,10,4140,4410,5250,9910
21/05/2022,10,4140,4410,5250,9910
22/05/2022,20,4140,4410,5180,9830
23/05/2022,10,4160,4410,5240,9910
24/05/2022,10,4100,4400,5210,9890
25/05/2022,10,4140,4400,5230,9900
26/05/2022,10,4160,4410,5240,9900
27/05/2022,10,4180,4410,5240,9900
28/05/2022,10,4120,4420,5200,9880
29/05/2022,10,4200,4420,5120,9760
30/05/2022,10,4180,4410,5220,9890
31/05/2022,10,4180,4420,5130,9900
1/6/2022,10,4140,4410,5230,9970
2/6/2022,10,4160,4420,5250,9970
3/6/2022,10,4180,4410,5230,9890
4/6/2022,10,4160,4410,5230,9760
5/6/2022,10,4180,4420,5230,9840
6/6/2022,10,4180,4420,5280,9910
7/6/2022,10,4200,4430,5280,9910
8/6/2022,10,4200,4630,5280,9910
9/6/2022,30,4250,4520,5240,9800
14/07/2022,10,4260,4500,5190,9900
15/07/2022,10,4260,4500,5290,9950
16/07/2022,10,4260,4500,5290,9950
17/07/2022,10,4220,4520,5230,9890
18/07/2022,10,4260,4510,5280,9870
19/07/2022,10,4240,4490,5280,9870
20/07/2022,10,4220,4490,5270,9850
21/07/2022,10,4260,4510,5290,9870
22/07/2022,10,4320,4510,5290,9870
23/07/2022,10,4220,4490,5250,9850
